No,기관코드,수정전 기관명,기관명,국가코드,국가,유형,수정전 기관명(한글명),기관명(한글명),,기관명(약어),수정전 수집url,수집url,비고,BRM대분류,연간 수집 예상 수량,수집제외,기관명(기타1),기관명(기타2),기관명(기타3),2025년 수집 건수,현재사용
26,Z00034,,"U.S. Department of Labor, Employee Benefits Security Administration",US,미국,정부기관,,노동부  복리후생보장관리국,,EBSA,,https://www.dol.gov/agencies/ebsa/about-ebsa/our-activities/resource-center/publications#,home > resources > publications,사회복지,9,,,,,,X
27,Z00035,,"U.S. Department of Labor, Employment & Training Administration",US,미국,정부기관,,노동부 고용훈련관리국,,ETA,,https://wdr.doleta.gov/research/search.cfm?CFID=65292815&CFTOKEN=19977786,home > resource library > research publications,사회복지,35,,,,,,
28,Z00036,,"U.S. Department of Labor, Bureau of Labor Statistics",US,미국,정부기관,,노동부 노동통계국,,BLS,,https://www.bls.gov/opub/,home > publications,사회복지,9,,,,,2,X
29,Z00037,,U.S. Department of Agriculture,US,미국,정부기관,,농무부,,DOA,,https://www.usda.gov/oig/reports,home > our agency > office of inspector general (OIG) > reports,농림,9,,,,,11,X
30,Z00038,,USDA Economic Research Service,US,미국,정부기관,,농무부 경제조사실,,ERS,,https://www.ers.usda.gov/publications/,home > publications,농림,35,,,,,,
31,Z00039,,USDA National Agricultural Statistics Service,US,미국,정부기관,,농무부 국립농업통계원,,NASS,,https://www.nass.usda.gov/Publications/index.php,home > publications,농림,9,,,,,,X
32,Z00040,,USDA Animal and Plant Health Inspection Service ,US,미국,정부기관,,농무부 동식물검역서비스,,APHIS,,https://www.aphis.usda.gov/aphis/newsroom/publications,home > newsroom > publications,농림,9,bruchue,,,,46,X
33,Z00041,,USDA Food and Nutrition Service,US,미국,정부기관,,농무부 식품영양서비스,,FNS,,https://www.fns.usda.gov/resources,,농림,9,,,,,,X
34,Z00042,,U.S. Trade and Development Agency,US,미국,정부기관,,무역개발청,,TDA,,https://ustda.gov/reports-and-resources/,home > reports and resources,"산업, 통상, 중소기업",9,,,,,,X
35,Z00043,,Office of United States Trade Representative,US,미국,정부기관,,무역대표부,,USTR,,https://ustr.gov/about-us/policy-offices/press-office/reports-and-publications,home > about us > policy offices / press office > reports and publications,"산업, 통상, 중소기업",9,"Blogs, Op-eds",,,,,X
36,Z00044,,The White House,US,미국,정부기관,,백악관,,,,https://www.whitehouse.gov/briefing-room/,home > briefing room,"보건
환경
일반공공행정
통일.외교",35,"article
(PDF 없음)",,,,,
37,Z00045,,White House Office of Science and Technology Policy,US,미국,정부기관,,백악관 과학기술국,,OSTP,,https://www.whitehouse.gov/ostp/reports/,home > briefing room > Reports & Documents,일반공공행정,9,,,,,,X
38,Z00046,,National Institute of Corrections,US,미국,정부기관,,법무부 국립교정연구소,,NIC,,https://nicic.gov/all-library-items,home > NIC library,일반공공행정,9,,,,,1,X
39,Z00047,,National Institute of Justice,US,미국,정부기관,,법무부 법무연구소,,NIJ,,https://nij.ojp.gov/library/publications/list,home > library multimedia > publications list,일반공공행정,35,,,,,,
40,Z00048,,"U.S. Department of Justice, Bureau of Justice Statistics",US,미국,정부기관,,법무부 법무통계국,,BJS,,https://bjs.ojp.gov/library,home > publications,일반공공행정,17,,,,,12,
41,Z00049,,Office of Juvenile Justice and Delinquency Prevention,US,미국,정부기관,,법무부 청소년예방국,,OJJDP,,https://ojjdp.ojp.gov/library/publications/list,home > library multimedia > publications list,일반공공행정,9,Newsletters,,,,6,X
42,Z00050,,"Office of Planning, Research and Evaluation",US,미국,정부기관,,보건후생부 아동가족국 연구 및 평가 기획실,,OPRE,,https://www.acf.hhs.gov/acf-data-research,home > Data & Research  or > Resources,"일반공공행정
재정. 세재. 금융",35,,,,,59,
43,Z00051,,Substance Abuse and Mental Health Services Administration,US,미국,정부기관,,보건후생부 약물남용및정신건강관리청,,SAMHSA,,https://www.samhsa.gov/,home > publication ,보건 ,35,Flyer,,,,24,
44,Z00052,,U.S. Department of Veterans Affairs,US,미국,정부기관,,보훈청,,VA,,https://www.va.gov/vapubs/,home > about VA > publications,국방,9,,,,,,X
45,Z00053,,U.S. Department of Commerce,US,미국,정부기관,,상무부,,DOC,,https://www.commerce.gov/data-and-reports/reports,home > data and reports > reports,일반공공행정,9,,,,,,X
46,Z00054,,National Institute of Standards and Technology,US,미국,정부기관,,상무부 표준기술연구소,,NIST,,https://www.nist.gov/publications,home > publications,과학기술,35,,,,,370,
47,Z00055,,International Trade Administration,US,미국,정부기관,,상무부 국제무역청,,ITA,,https://www.trade.gov/research-center,home > research center,"산업, 통상, 중소기업",9,,,,,,X
48,Z00056,,Select USA,US,미국,정부기관,,상무부 국제무역청 외국인 투자유치기관,,,,https://www.selectusa.gov/reports-and-publications,home > resource > reports and publications,"산업, 통상, 중소기업",9,,,,,,X
49,Z00057,,U.S. Bureau of Economic Analysis,US,미국,정부기관,,상무부경제분석국,,BEA,,https://www.bea.gov/research/papers,home > research > papers,재정.세재. 금융,17,,,,,12,
50,Z00058,,U.S. Food and Drug Administration,US,미국,정부기관,,식품의약품안전청,,FDA,,https://www.fda.gov/regulatory-information/search-fda-guidance-documents#guidancesearch,home > menu > FDA Guidance Documents,보건 ,35,,,,,41,
51,Z00059,,U.S. Department of Energy,US,미국,정부기관,,에너지부,,DOE,,https://www.energy.gov/search/site?keywords=,home > search,환경,35,blog,,,,,
52,Z00060,,U.S. Energy Information Administration,US,미국,정부기관,,에너지정보국,,EIA,,https://www.eia.gov/reports/,home > tools > all report & Publications,환경,35,,,,,,
53,Z00061,,Federal Interagency Forum on Child and Family Statistics,US,미국,정부기관,,연방아동·가족통계통합포럼,,,,https://www.childstats.gov/pubs/,home > publications,사회복지,9,,,,,,X
54,Z00062,,Federal Deposit Insurance Corporation,US,미국,정부기관,,연방예금보험공사,,FDIC,,"https://www.fdic.gov/resources/publications/

https://www.fdic.gov/analysis/","home > source > publications

home > analysis",금융,9,,,,,,X
55,Z00063,,Federal Reserve Board of Governors,US,미국,정부기관,,연방준비제도이사회,,FRB,,https://www.federalreserve.gov/econres.htm,home > economic research,금융,35,,,,,120,
56,Z00064,,"U.S. Army War College, Strategic Studies Institute",US,미국,정부기관,,육군대학 전략연구소,,SSI,,https://ssi.armywarcollege.edu/pubs/,home > research & commentary,국방,9,,,,,1,X
57,Z00065,,Congressional Budget Office,US,미국,정부기관,,의회예산처,,CBO,,https://www.cbo.gov/search,home > search,"재정, 세제, 금융",35,"Podcast, Graphic , blog",,,,12,
58,Z00066,,U.S. Immigration and Customs Enforcement ,US,미국,정부기관,,이민세관집행국,,ICE,,https://www.dhs.gov/publications,home > news > publication library ,"공공질서 및 안전
교통. 물류",35,,,,,,
59,Z00067,,U.S. Department of the Treasury,US,미국,정부기관,,재무부,,DOT,,https://home.treasury.gov/data/troubled-assets-relief-program/reports/reports,home > data > troubled assets relief program,"재정, 세제, 금융",35,통계자료만 있음,,,,,
60,Z00068,,"U.S. Department of the Treasury, Financial Crimes Enforcement Network",US,미국,정부기관,,재무부 금융정보분석원,,FinCEN,,https://www.fincen.gov/resources/advisoriesbulletinsfact-sheets,home > resources > advisories/bulletins/fact-sheets,"재정, 세재, 금융",9,Notices,,,,2,X
61,Z00069,,U.S. Department of Housing and Urban Development's Office of Policy Development and Research,US,미국,정부기관,,주택도시개발부 정책개발연구실,,PD&R,,https://www.huduser.gov/portal/research/home.html,home > research & publications,지역개발,9,,,,,4,X
62,Z00070,,Centers for Disease Control and Prevention,US,미국,정부기관,,질병통제예방센터,,CDC,,https://www.cdc.gov/publications/,home > more > publications,보건,9,,,,,,X
63,Z00071,,U.S. Census Bureau,US,미국,정부기관,,통계국,,,,"https://www.census.gov/library/working-papers.html

https://www.census.gov/library/publications.html

","home > library > working papers

home > library > publications","산업, 통상, 중소기업, 환경, 과학기술",17,,,,,90,
64,Z00072,Department of the Interior: Mineral Management Service,Bureau of Safety and Environmental Enforcement,US,미국,정부기관,해양에너지관리국,안전환경집행국,MMS,BSEE,,https://www.doi.gov/elips/browse,home > Guidance Documents,"환경
산업.통상.중소기업",9,,,,,,X
65,Z00073,,Environmental Protection Agency,US,미국,정부기관,,환경보호청,,EPA,,https://www.epa.gov/research,,환경,9,,,,,,X
66,Z00074,,Center for Economic and Policy Research,US,미국,연구기관,,경제정책연구센터,,CEPR,,https://cepr.net/publications/,home > more > publications,"금융, 산업, 통상, 중소기업",35,,,,,,
67,Z00075,,National Center for Policy Analysis,US,미국,연구기관,,국립정책분석센터,,NCPA,,Home으로 연결되는 URL을 찾기 어려움 ,,접속 X,9,,,,,,X
68,Z00076,,Center for Strategic and International Studies,US,미국,연구기관,,국제전략문제연구소,,CSIS,,https://www.csis.org/analysis?,home > analysis,"금융, 산업, 통상, 중소기업, 환경",35,blog,,,,28,
69,Z00077,,East-West Center,US,미국,연구기관,,동서문화연구소,,EWC,,https://www.eastwestcenter.org/publications/search/,home > analysis > publications,문화체육관광,17,,,,,2,
70,Z00078,,Mathematica Policy Research,US,미국,연구기관,,매스매티카 정책연구소,,MPR,,https://www.mathematica.org/search#sort=relevancy,home > search,"환경, 사회복지",35,blog,,,,4,
71,Z00079,,Economic Policy Institute,US,미국,연구기관,,미 경제정책연구소,,EPI,,https://www.epi.org/publications/,home > publications,"환경, 사회복지, 통상",17,blog,,,,35,
72,Z00080,,American Enterprise Institute,US,미국,연구기관,,미 기업연구소,,AEI,,https://www.aei.org/research-products/,home > research products,"산업, 통상, 중소기업",35,speech,,,,95,
73,Z00081,,Institute for Policy Studies,US,미국,연구기관,,미국정책연구소,,IPS,,https://ips-dc.org/ips-post-type/reports/,home > our work > report,"통상, 사회복지",9,,,,,7,X
74,Z00082,,Brookings Institution,US,미국,연구기관,,브루킹스연구소,,,,https://www.brookings.edu/search/?s=,home > search,"보건, 과학기술, 사회복지",35,blog,,,,27,
75,Z00083,,Center for a New American Security,US,미국,연구기관,,신미국안보센터,,CNAS,,https://www.cnas.org/reports,home > research > reports,"국방, 외교",35,,,,,27,
76,Z00084,,The National Bureau of Asian Research,US,미국,연구기관,,아시아정책연구소,,NBR,,https://www.nbr.org/publications/,home > publications,과학기술,17,Q&A,,,,6,
77,Z00086,,Carnegie Endowment for International Peace,US,미국,연구기관,,카네기 평화연구소,,CEIP,,https://carnegieendowment.org/publications/,home > publications,"국방, 외교",9,Q&A,,,,15,X
78,Z00087,,Cato Institute,US,미국,연구기관,,케이토연구소,,,,https://www.cato.org/publications,home > publications,"환경, 과학기술",35,,,,,51,
79,Z00088,,Peterson Institute for International Economics,US,미국,연구기관,,피터슨 국제경제연구소,,PIIE,,https://www.piie.com/research/publications,home > research > publications,"환경, 금융",9,,,,,29,X
80,Z00089,,Heritage Foundation,US,미국,연구기관,,헤리티지 재단,,,,https://www.heritage.org/search?contains=,home > search,"환경, 외교, 통상, 사회복지",35,,,,,109,
81,Z00090,,Hoover Institution,US,미국,연구기관,,후버연구소,,,,https://www.hoover.org/publications,home > publications,"환경, 일반공공행정",9,,,,,16,X
82,Z00091,,"Government Offices of Sweden, Ministry of Employment",SW,스웨덴,정부기관,,고용노동부,,,,https://www.government.se/reports/,home > documents & publications > reports,"산업, 사회복지",9,,"Ministry of Employment, GOV.SWEDEN",,,1,X
83,Z00092,,"Government Offices of Sweden, Ministry of Education and Research",SW,스웨덴,정부기관,,교육연구부,,,,https://www.government.se/reports/,home > documents & publications > reports,교육,9,,"Ministry of Education and Research, GOV.SWEDEN",,,,X
84,Z00093,,"Government Offices of Sweden, Ministry of Defence",SW,스웨덴,정부기관,,국방부,,,,https://www.government.se/reports/,home > documents & publications > reports,국방,9,,,,,,X
85,Z00094,,"Government Offices of Sweden, Ministry of Enterprise and Innovation",SW,스웨덴,정부기관,,기업혁신부,,,,https://www.government.se/reports/,home > documents & publications > reports,"통상, 중소기업",9,,,,,,X
86,Z00095,,"Government Offices of Sweden, Ministry of Culture",SW,스웨덴,정부기관,,문화부,,,,https://www.government.se/reports/,home > documents & publications > reports,문화체육관광,9,,,,,,X
87,Z00096,,"Government Offices of Sweden, Ministry of Justice",SW,스웨덴,정부기관,,법무부,,,,https://www.government.se/reports/,home > documents & publications > reports,일반공공행정,9,,,,,,X
88,Z00097,,"Government Offices of Sweden, Ministry of Health and Social Affairs",SW,스웨덴,정부기관,,보건복지부,,,,https://www.government.se/reports/,home > documents & publications > reports,보건,9,,,,,,X
89,Z00098,,"Government Offices of Sweden, Ministry for Foreign Affairs",SW,스웨덴,정부기관,,외교부,,,,https://www.government.se/reports/,home > documents & publications > reports,외교,9,,,,,,X
90,Z00099,,"Government Offices of Sweden, Ministry of Finance ",SW,스웨덴,정부기관,,재무부,,,,https://www.government.se/reports/,home > documents & publications > reports,"재정, 세재, 금융",9,,,,,,X
91,Z00100,,"Government Offices of Sweden, Prime Minister's Office ",SW,스웨덴,정부기관,,총리실,,,,https://www.government.se/reports/,home > documents & publications > reports,"통상, 사회복지",9,,,,,,X
92,Z00101,,"Government Offices of Sweden, Ministry of the Environment and Energy",SW,스웨덴,정부기관,,환경에너지부,,,,https://www.government.se/reports/,home > documents & publications > reports,환경,9,,,,,,X
93,Z00102,,Stockholm International Peace Research Institute,SW,스웨덴,연구기관,,스톡홀름 국제평화연구소,,SIPRI,,https://www.sipri.org/publications,home > publications,"국방, 외교",9,,,,,27,X
94,Z00103,,Singapore Economic Development Board,SI,싱가포르,정부기관,,경제개발청,,EDB,,https://www.edb.gov.sg/en/business-insights/market-and-industry-reports.html,home > business insights > market and industry reports,"환경, 과학기술",9,PDF다운로드 시 로그인 필요,,,,8,X
95,Z00104,,Inland Revenue Authority of Singapore,SI,싱가포르,정부기관,,국세청,,IRAS,,https://www.iras.gov.sg/who-we-are/what-we-do/annual-reports-and-publications/annual-reports,home > who we are > what we do > annual reports and publications > annual reports,"재정, 세재, 금융",9,,,,,,X
96,Z00105,Singapore Government Technology Agency,Government Technology Agency,SI,싱가포르,정부기관,기술청,정부기술청,,GovTech ,,https://www.tech.gov.sg/media/corporate-publications/,home > media - corporate publications,"과학기술
재정.세재.금융",9,,,,,,X
97,Z00106,,"Ministry of Culture, Community and Youth, Singapore",SI,싱가포르,정부기관,,문화지역사회청소년부,,MCCY,,https://www.mccy.gov.sg/about-us/news-and-resources,home > about us > news & resources,문화체육관광,9,,,,,,X
98,Z00107,,"Ministry of Health, Singapore",SI,싱가포르,정부기관,,보건부,,MOH,,https://www.moh.gov.sg/resources-statistics,home > for public > resources & statistics ,보건 ,9,,,,,,X
99,Z00108,,"Ministry of Foreign Affairs, Singapore",SI,싱가포르,정부기관,,외무부,,MFA,,"https://www.mfa.gov.sg/Newsroom/Resources/Experience-Singapore

https://www.mfa.gov.sg/Newsroom/Press-Statements-Transcripts-and-Photos",,통일. 외교,9,,,,,,X
100,Z00109,,"Ministry of Manpower, Singapore",SI,싱가포르,정부기관,,인력부,,MOM,,https://stats.mom.gov.sg/Publications,home > publications,사회복지,9,,,,,,X
101,Z00110,,"Info-communications Media Development Authority, Singapore",SI,싱가포르,정부기관,,정보통신미디어개발청,,IMDA,,https://www.imda.gov.sg/,,과학기술,9,,,,,,X
102,Z00111,Ministry of Communications and Information,Ministry of Digital Development and Information,SI,싱가포르,정부기관,정보통신부,디지털발전정보부,MCI,MDDI,https://www.mci.gov.sg/public-consultations/open,https://www.mddi.gov.sg/newsroom,,과학기술,9,,,,,,X
103,Z00112,,Monetary Authority of Singapore,SI,싱가포르,정부기관,,통화청,,MAS,,https://www.mas.gov.sg/publications?,home > publications,"재정, 세재, 금융",17,,,,,,
104,Z00113,,"UK Ministry of Housing, Communities and Local Government",GB,영국,정부기관,공동체지방자치부,"주택, 지역사회 및 지방자치부",,MHCLG,,https://www.gov.uk/search/research-and-statistics,home > Documents > see all research and statistics,"일반공공행정, 사회복지",35,,,,,9,
105,Z00114,,UK Government Office for Science,GB,영국,정부기관,,과학청,,GO-Science,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=government-office-for-science&parent=government-office-for-science,home > Documents > see all research and statistics,과학기술,9,,,,,1,X
106,Z00115,,UK Department for Education ,GB,영국,정부기관,,교육부,,DfE,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-education&parent=department-for-education,home > Documents > see all research and statistics,교육,35,,,,,42,
107,Z00116,,UK Department for Transport,GB,영국,정부기관,,교통부,,DfT,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-transport&parent=department-for-transport,home > Documents > see all research and statistics,교통 및 물류,35,,,,,26,
108,Z00117,,UK Ministry of Defence,GB,영국,정부기관,,국방부,,MOD,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=ministry-of-defence&parent=ministry-of-defence,home > Documents > see all research and statistics,국방,17,,,,,,
109,Z00118,UK Department for International Development,"UK Foreign, Commonwealth & Development Office",GB,영국,정부기관,국제개발부,외교영연방개발부,DID,FCDO,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-international-development&parent=department-for-international-development,home > Documents > see all research and statistics,"사회복지, 교육",35,,,,,,
110,Z00119,UK Department for Business Innovation & Skills,UK Department for Business and Trade,GB,영국,정부기관,기업혁신기술부,기업통상부,,DBT,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-business-innovation-skills&parent=department-for-business-innovation-skills,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-business-and-trade&parent=department-for-business-and-trade,home > Documents > see all research and statistics,"중소기업, 과학기술",9,,,,,,X
111,Z00120,,UK Home Office,GB,영국,정부기관,,내무부 ,,,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=home-office&parent=home-office,home > Documents > see all research and statistics,"일반공공행정, 사회복지",9,,,,,,X
112,Z00121,,UK Department for Work and Pensions,GB,영국,정부기관,,노동연금부,,DWP,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-work-pensions&parent=department-for-work-pensions,home > Documents > see all research and statistics,"사회복지, 일반공공행정",17,,,,,,
113,Z00122,UK Department for Culture Media and Sport,"UK Department for Culture, Media and Sport",GB,영국,정부기관,,문화미디어체육부,,DCMS,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-digital-culture-media-sport&parent=department-for-digital-culture-media-sport,home > Documents > see all research and statistics,문화체육관광,17,,,,,,
114,Z00123,,UK Ministry of Justice,GB,영국,정부기관,,법무부,,MoJ,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=ministry-of-justice&parent=ministry-of-justice,home > Documents > see all research and statistics,일반공공행정,9,,,,,21,X
115,Z00124,,UK Department of Health,GB,영국,정부기관,,보건부,,DOH,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-of-health-and-social-care&parent=department-of-health-and-social-care,home > Documents > see all research and statistics,보건,17,,,,,11,
116,Z00125,,UK Government Actuary's Department,GB,영국,정부기관,,보험계리국,,GAD,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=government-actuarys-department&parent=government-actuarys-department,home > Documents > see all research and statistics,사회복지,9,,,,,3,X
117,Z00126,,UK Northern Ireland Office,GB,영국,정부기관,,북아일랜드부,,NIO,,https://www.gov.uk/search/research-and-statistics,,"산업, 통상, 중소기업
환경 
과학기술",9,,,,,54,X
118,Z00127,UK Department of Energy and Climate Change,UK Department for Energy Security and Net Zero,GB,영국,정부기관,에너지기후변화부,에너지안보넷제로부,,DESNZ,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-of-energy-climate-change&parent=department-of-energy-climate-change,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-energy-security-and-net-zero&parent=department-for-energy-security-and-net-zero,home > Documents > see all research and statistics,환경,9,16년도 이후로 업로드 중지,,,,,X
119,Z00128,UK Foreign and Commonwealth Office,"UK Foreign, Commonwealth & Development Office",GB,영국,정부기관,외교연방부,외교영연방개발부,FCO,FCDO,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=foreign-commonwealth-office&parent=foreign-commonwealth-office,home > Documents > see all research and statistics,외교,9,,,,,,X
120,Z00129,,UK HM Treasury,GB,영국,정부기관,,재무부,,HMT,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=hm-treasury&parent=hm-treasury,home > Documents > see all research and statistics,재정,9,자료 형식 부적합,,,,15,X
121,Z00130,,UK Government Equalities Office,GB,영국,정부기관,,평등부,,GEO,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=government-equalities-office&parent=government-equalities-office,home > Documents > see all research and statistics,사회복지,9,,,,,,X
122,Z00131,,UK Department for Environment Food and Rural Affairs,GB,영국,정부기관,,환경식품농촌부,,Defra,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=department-for-environment-food-rural-affairs&parent=department-for-environment-food-rural-affairs,home > Documents > see all research and statistics,"농림, 해양수산",9,,,,,,X
123,Z00132,,UK Environment Agency,GB,영국,정부기관,,환경청,,EA,,https://www.gov.uk/search/research-and-statistics?organisations%5B%5D=environment-agency&parent=environment-agency,home > Documents > see all research and statistics,환경,9,,,,,18,X
124,Z00133,,Economic and Social Research Council,GB,영국,연구기관,,경제사회연구회,,ESRC,,https://www.ukri.org/about-us/esrc/who-we-are/publications/,home > news & events and publications / publications,산업.통상.중소기업,9,,,,,,X
125,Z00134,,"Centre for Economic Policy research, UK",GB,영국,연구기관,,경제정책연구센터,,CEPR,,https://cepr.org/publications,home > publications,"금융, 산업",35,PDF다운로드 시 로그인 필요,,,,15,
126,Z00135,,National Institute of Economic and Social Research,GB,영국,연구기관,,국립사회경제연구소,,NIESR,,https://www.niesr.ac.uk/publications,home > publications,금융,9,,,,,33,X
127,Z00139,,Public Safety Canada ,CA,캐나다,정부기관,,공공안전청,,PSC,,https://www.publicsafety.gc.ca/cnt/rsrcs/pblctns/index-en.aspx,home > resource > publications and reports,공공질서 및 안전,9,,,,,,X
128,Z00140,,Transport Canada,CA,캐나다,정부기관,,교통부,,,,https://tc.canada.ca/en/corporate-services/publications,home > about transport canada > publications,교통 및 물류,9,,,,,,X
129,Z00141,,Office of the Superintendent of Financial Institutions Canada,CA,캐나다,정부기관,,금융기관감독청,,OSFI,,https://www.osfi-bsif.gc.ca/Eng/Pages/default.aspx,home > about OSFI > reports and Accountability,재정.세재.금융,9,,,,,,X
130,Z00142,,Canadian Heritage,CA,캐나다,정부기관,,문화유산부,,,,https://www.canada.ca/en/canadian-heritage/corporate/publications.html,home > all related publications,일반공공행정,9,,,,,,X
131,Z00143,,Department of Justice Government of Canada ,CA,캐나다,정부기관,,법무부,,,,https://www.justice.gc.ca/eng/rp-pr/index.html,home > about us > reports & publications,일반공공행정,9,,,,,,X
