순번,언어,발행처,BRM,자료명
33,영어,Istituto Affari Internazionali,"국방 / 병무행정,통일·외교 / 외교",Can France Provide European Allies with Nuclear Deterrence?
34,영어,Istituto Affari Internazionali,"재정·세제·금융 / 금융,통일·외교 / 외교",Trump’s Exit from the Paris Agreement: An Opportunity for the EU to Back South Africa’s Climate Leadership
35,영어,Istituto Affari Internazionali,"국방 / 병무행정,통일·외교 / 외교",Giorgia Meloni’s Italy between Trump and Europe: Fateful Choices Ahead
36,영어,Istituto Affari Internazionali,"국방 / 병무행정,통일·외교 / 외교",A Three-year War and Four Lessons for Europe
37,영어,Istituto Affari Internazionali,"농림 / 농업·농촌,재정·세제·금융 / 금융",The G7 and Sustainable Agri-Food Systems’ Transformation: Lessons Learned from the Italian Presidency
38,영어,Istituto Affari Internazionali,"통일·외교 / 외교,환경 / 환경일반",Building Ambition in the Run-up to Belém: Italy’s G7 Presidency on Climate and Energy
39,영어,Istituto Affari Internazionali,"일반공공행정 / 국정운영,통일·외교 / 외교",Another Transatlanticism Is Possible: Europe’s Moment in Latin America amid Trump’s Return
40,영어,Istituto Affari Internazionali,"국방 / 병무행정,통일·외교 / 외교","Trump’s Call with Putin Raises Great Concerns, Few Hopes"
41,영어,Finnish Institute of International Affairs,"국방 / 병무행정,통일·외교 / 외교",The boom and crash of cooperative security in Europe: Four scenarios for the future
42,영어,Finnish Institute of International Affairs,"국방 / 병무행정,통일·외교 / 외교",BRICS+ and the age of multipolarity: Why Turkey and Saudi Arabia remain cautious
43,영어,Finnish Institute of International Affairs,"국방 / 병무행정,통일·외교 / 외교",Russia’s war dilemma: Can the Kremlin seek peace without losing face?
44,영어,Finnish Institute of International Affairs,"통일·외교 / 외교,환경 / 환경일반",Addressing environment-related risks in the EU’s crisis management: From greening to foresight and preparedness
45,영어,Finnish Institute of International Affairs,"과학기술 / 과학기술연구,통일·외교 / 외교",The EU and NATO in pursuit of better deterrence: Baltic Sea sabotage prompts rethink of current practices
46,영어,Finnish Institute of International Affairs,"산업·통상·중소기업 / 에너지및자원개발,통일·외교 / 외교",Germany’s ‘perfect storm’: A structural crisis for the EU’s engine?
47,영어,Finnish Institute of International Affairs,"일반공공행정 / 국정운영,통일·외교 / 외교",Measuring geoeconomic power: An index for 41 major economies
48,영어,Finnish Institute of International Affairs,"국방 / 병무행정,통일·외교 / 외교",Four lenses for observing the second Trump administration: Reflecting uncertainty
49,영어,Atlantic Council,"과학기술 / 과학기술연구,국방 / 병무행정",Atlantic Council Commission on Software-Defined Warfare: Final report
50,영어,Atlantic Council,"산업·통상·중소기업 / 무역및투자유치,통일·외교 / 외교",Trade with Colombia is big business for US exporters—amid growing Chinese influence in Latin America
51,영어,Atlantic Council,"일반공공행정 / 국정운영,통일·외교 / 외교",Why democracies stick together: The theory and empirics behind alliance formation
52,영어,Atlantic Council,"과학기술 / 과학기술연구,산업·통상·중소기업 / 에너지및자원개발","To win the AI race, the US needs an all-of-the-above energy strategy"
53,영어,Atlantic Council,"문화체육관광 / 문화예술,일반공공행정 / 국민권익·인권",Changing the conversation about religious freedom: An integral human development approach
54,영어,Atlantic Council,"산업·통상·중소기업 / 에너지및자원개발,통일·외교 / 외교",Present without impact? How the Middle East perceives China’s diplomatic engagement
55,영어,Atlantic Council,"산업·통상·중소기업 / 산업·중소기업일반,재정·세제·금융 / 금융",Unlocking access to credit: The role of freedom in reducing  borrower discouragement
56,영어,Atlantic Council,"과학기술 / 과학기술연구,산업·통상·중소기업 / 산업진흥·고도화","Emerging technology policies and democracy in Africa: South Africa, Kenya, Nigeria, Ghana, and Zambia in focus"
57,영어,Atlantic Council,"재정·세제·금융 / 기획재정,환경 / 환경일반",Financing the future: Unlocking private capital for global infrastructure and climate goals
58,영어,Atlantic Council,"재정·세제·금융 / 금융,통일·외교 / 외교",Toward equitable debt contracts: Preventing de facto seniority-clause escalation in the sovereign lending space
59,영어,Atlantic Council,"일반공공행정 / 국정운영,통일·외교 / 외교",The art of the transatlantic deal
60,영어,Atlantic Council,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Fragmentation and the role of the IMF
61,영어,Atlantic Council,"일반공공행정 / 일반행정,일반공공행정 / 국정운영",From Tunis to Baghdad: Can platform-based politics take root?
62,영어,Atlantic Council,"과학기술 / 원자력기술,산업·통상·중소기업 / 에너지및자원개발",Atoms for Appalachia: The role of nuclear energy in economic development
63,영어,RAND Corporation,"과학기술 / 과학기술연구,국방 / 병무행정",Improving Sense-Making with Artificial Intelligence
64,영어,RAND Corporation,"사회복지 / 주택,환경 / 환경일반","Identifying Resilient, Sustainable Cooling Strategies for Los Angeles: How Might Landlords of Single-Family Homes Meet Indoor Temperature Thresholds?"
65,영어,RAND Corporation,"국방 / 병무행정,일반공공행정 / 일반행정",Hezbollah´s Networks in Latin America: Potential Implications for U.S. Policy and Research
66,영어,RAND Corporation,"국방 / 병무행정,통일·외교 / 외교",How Will Russia Reconstitute Its Military After the Ukraine Conflict?
67,영어,RAND Corporation,"국방 / 병무행정,지역개발 / 지역및도시",From Camps to Communities: Post-Conflict Shelter in Gaza
68,영어,RAND Corporation,"교육 / 교육일반,교육 / 유아및초·중등교육","Prioritizing Curriculum-Based Professional Learning for Mathematics Teachers: District, Principal, and Teacher Perspectives from the American Educator Panels"
69,영어,RAND Corporation,"과학기술 / 과학기술연구,국방 / 병무행정",Artificial General Intelligence´s Five Hard National Security Problems
70,영어,RAND Corporation,"과학기술 / 과학기술연구,국방 / 병무행정","Risk Management of Strategic Readiness: Concepts, Practices, Data Analytics, and Next Steps"
71,영어,RAND Corporation,"보건 / 식품의약안전,사회복지 / 보건의료",eINSPIRE Facilitator Guide: A Telehealth Group for Family Members and Close Friends Affected by a Loved One’s Opioid Use Disorder
72,영어,RAND Corporation,"과학기술 / 과학기술연구,국방 / 병무행정","Chinese Military Views of Low Earth Orbit: Proliferation, Starlink, and Desired Countermeasures"
73,영어,RAND Corporation,"과학기술 / 과학기술연구,통일·외교 / 외교",Enhancing In-House U.S. Government AI Talent
74,영어,RAND Corporation,"보건 / 보건의료,사회복지 / 보건의료",Assessing the Needs of Military-Connected Children and Resources to Address Those Needs
75,영어,RAND Corporation,"교육 / 교육일반,교육 / 유아및초·중등교육",Microschools as an Emerging Education Model: Implications for Research and Evaluation
76,영어,RAND Corporation,"국방 / 병무행정,사회복지 / 고용노동",Assessing Needs for Civilian STEM Talent in the Department of the Air Force: Navigating the Complexities of Workforce Demand and Supply
77,영어,RAND Corporation,"과학기술 / 과학기술연구,보건 / 보건의료",Policy Options to Prevent the Creation of Mirror Organisms
78,영어,Hudson Institute,"국방 / 병무행정,산업·통상·중소기업 / 무역및투자유치",Strategic Alignment in an Era of Uncertainty: Next Steps for the US–South Korea Alliance
79,영어,Hudson Institute,"국방 / 병무행정,통일·외교 / 외교",Are Ethiopia and Eritrea Rolling Toward War?
80,영어,Hudson Institute,"산업·통상·중소기업 / 무역및투자유치,통일·외교 / 외교",Negotiating a US-Japan Trade Deal That’s Good for America
81,영어,Hudson Institute,"과학기술 / 과학기술연구,국방 / 병무행정","AI, National Security, and the Global Technology Race: How US Export Controls Define the Future of Innovation"
82,영어,Hudson Institute,"일반공공행정 / 법제,통신 / 방송통신",Budget Scoring of Legislation to Extend the Auction Authority of the Federal Communications Commission
83,영어,Hudson Institute,"국방 / 병무행정,통일·외교 / 외교",Ending Self-Imposed Scarcity: Exploiting America’s Commercial Strengths to Mobilize Weapons Production
84,영어,Hudson Institute,"국방 / 병무행정,통일·외교 / 외교",Moving the NATO-IP4 Partnership from Dialogue to Cooperation: Maritime Security and Next-Generation Technologies
85,영어,Hudson Institute,"국방 / 병무행정,통일·외교 / 외교",Sino-Russian Interactions Regarding Kazakhstan
86,영어,Hudson Institute,"보건 / 보건의료,통일·외교 / 외교","To Change South Africa’s Behavior, Target ANC Officials"
87,영어,Hudson Institute,"과학기술 / 원자력기술,국방 / 병무행정",Nonproliferation in Great Power Competition
88,영어,Hudson Institute,"국방 / 병무행정,통일·외교 / 외교",Required to Fail | Beyond Documents: Accelerating Joint Advantage through Direct Resourcing and Experimentation
89,영어,Hudson Institute,"국방 / 병무행정,통일·외교 / 외교",Beyond the Nuclear Balance: A Strategic Forces Net Assessment
90,영어,Hudson Institute,"국방 / 병무행정,일반공공행정 / 국민권익·인권",Prioritizing Human Rights in United States Policy toward China: A Guide for the Trump Administration
91,영어,Hudson Institute,"일반공공행정 / 국정운영,통일·외교 / 외교",Past Lessons and Future Action: Policies for a Successful Free and Open Indo-Pacific
92,영어,Hudson Institute,"일반공공행정 / 국정운영,통일·외교 / 외교",Seven Inaccuracies about US Support for Somaliland
93,영어,Office of the Parliamentary Budget Officer,"산업·통상·중소기업 / 에너지및자원개발,환경 / 환경일반",Impact Assessment of the Oil and Gas Emissions Cap
94,영어,Office of the Parliamentary Budget Officer,"사회복지 / 공적연금,사회복지 / 기초생활보장",Assessing the Impact of Canada Pension Plan Enhancements on the Public Service Pension Plan
95,영어,Office of the Parliamentary Budget Officer,"산업·통상·중소기업 / 무역및투자유치,재정·세제·금융 / 기획재정",Economic and Fiscal Outlook – March 2025
96,영어,Office of the Parliamentary Budget Officer,"일반공공행정 / 국민권익·인권,재정·세제·금융 / 세제",A Distributional Analysis of a National Guaranteed Basic Income – Update
97,영어,Office of the Parliamentary Budget Officer,"일반공공행정 / 재정·금융,재정·세제·금융 / 기획재정",Stress Testing the Government’s Fiscal Anchor and Fiscal Objective
98,영어,Office of the Parliamentary Budget Officer,"사회복지 / 주택,재정·세제·금융 / 세제",Model for Projecting the Number of Households in Core Housing Need
99,영어,Office of the Parliamentary Budget Officer,"사회복지 / 고용노동,사회복지 / 취약계층지원",Impact assessment of 2025-2027 Immigration Level Plan
100,영어,Office of the Parliamentary Budget Officer,"일반공공행정 / 재정·금융,재정·세제·금융 / 기획재정",Fall Economic Statement: Issues for Parliamentarians
101,영어,Office of the Parliamentary Budget Officer,"일반공공행정 / 일반행정,재정·세제·금융 / 기획재정",Fiscal cost of task-based IT contracting
102,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,통일·외교 / 외교",The Complex Dynamics of Turkey’s “Savior” Image
103,영어,Begin-Sadat Center for Strategic Studies,"교통및물류 / 항공·공항,국방 / 병무행정",North Korea’s Air Force Adds AWACS Platforms to Aircraft
104,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,통일·외교 / 외교",Hamas’s Plan to Turn Gaza Into Another Lebanon
105,영어,Begin-Sadat Center for Strategic Studies,"과학기술 / 과학기술연구,국방 / 병무행정","“Assessment Is Nothing, Assessing Is Everything” – How to Make Intelligence Assessment Dynamic and Effective"
106,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,통일·외교 / 외교",How to Effectively Engage Azerbaijan in Trump’s Regional Plans and in Israel’s Interests: Practical Recommendations
107,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,통일·외교 / 외교",Germany’s Expanded Role in the Mediterranean
108,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,일반공공행정 / 국민권익·인권",The Historical Roots of President Trump’s Gaza Relocation Plan
109,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,통일·외교 / 외교",The October 7 War Is Only the First Act
110,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,통일·외교 / 외교",How Did Israel Win the Iron Swords War?
111,영어,Begin-Sadat Center for Strategic Studies,"국방 / 병무행정,통일·외교 / 외교",Israel and Greece in 2025
112,영어,International Monetary Fund,"일반공공행정 / 재정·금융,재정·세제·금융 / 기획재정",Fiscal Determinants of Domestic Sovereign Bond Yields in Emerging Market and Developing Economies
113,영어,International Monetary Fund,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Covered Interest Parity in Emerging Markets: Measurement and Drivers
114,영어,International Monetary Fund,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Monetary Shocks and Labor Markets: Evidence from Online Job Vacancy Postings
115,영어,International Monetary Fund,"사회복지 / 보육·가족및여성,일반공공행정 / 국정운영",Lost Generations? Fertility and Economic Growth in Europe
116,영어,International Monetary Fund,"재정·세제·금융 / 금융,환경 / 환경일반",Credit Risk Where It’s Due: Carbon Pricing and Firm Defaults
117,영어,International Monetary Fund,"산업·통상·중소기업 / 통상,일반공공행정 / 일반행정",Trade Reform in Services: Structural Change and Production Networks
118,영어,International Monetary Fund,"일반공공행정 / 국정운영,통신 / 방송통신",Privacy Technologies & The Digital Economy
119,영어,International Monetary Fund,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Could Digital Currencies Lead to the Disappearance of Cash from the Market?
120,영어,European Central Bank,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Private Safe-Asset Supply and Financial Instability
121,영어,European Central Bank,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Macroprudential and Monetary Policy Tightening: More than a Double Whammy?
122,영어,European Central Bank,"재정·세제·금융 / 기획재정,환경 / 환경일반",Creditworthy: Do Climate Change Risks Matter for Sovereign Credit Ratings?
123,영어,European Central Bank,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",The Expert’s Edge? Bank Lending Specialization and Informational Advantages for Credit Risk Assessment
124,영어,European Central Bank,"지역개발 / 수자원,재정·세제·금융 / 금융",TLTRO III and Banks´ Loan Book Rebalancing during the Pandemic: Less ´Targeted´ than Intended for Some?
125,영어,European Central Bank,"일반공공행정 / 국정운영,재정·세제·금융 / 금융",Fiscal Requirements for Price Stability when Households are not Ricardian
126,영어,European Central Bank,"문화체육관광 / 문화재,산업·통상·중소기업 / 에너지및자원개발",Putting Countries on the Cap? Pastoral Visits of John Paul II and International Trade
127,영어,European Central Bank,"재정·세제·금융 / 금융,환경 / 환경일반",From Flood to Fire: is Physical Climate Risk Taken into Account in Banks’ Residential Mortgage Rates?
128,영어,European Central Bank,"사회복지 / 기초생활보장,재정·세제·금융 / 금융",The Heterogeneous Effects of Household Debt Relief
129,영어,European Central Bank,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Firm Ownership and the Macroeconomics of Incentive Leakages
130,영어,European Central Bank,"재정·세제·금융 / 금융,환경 / 환경일반",Fiscal and Macroprudential Policies during an Energy Crisis
131,영어,European Central Bank,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Bank Transparency and Market Efficiency
132,영어,European Central Bank,"재정·세제·금융 / 금융,환경 / 환경일반",Green and Brown Returns in a Production Economy
133,영어,European Central Bank,"일반공공행정 / 국정운영,환경 / 환경일반",Climate Change Policies and Technologies: Diffusion and Interaction with Institutions and Governance
134,영어,Bank for International Settlements,"과학기술 / 과학기술연구,재정·세제·금융 / 금융",Word2Prices: Embedding Central Bank Communications Inflation Prediction
135,영어,Bank for International Settlements,"재정·세제·금융 / 금융,통일·외교 / 외교",Monetary Policy and the Secular Decline Long-Term Interest Rates: A Global Perspective
136,영어,Bank for International Settlements,"산업·통상·중소기업 / 공정거래,재정·세제·금융 / 금융",Consumer Financial Data and Non-Horizontal Mergers
137,영어,Bank for International Settlements,"과학기술 / 과학기술연구,재정·세제·금융 / 금융",Predicting Financial Market Stress with Machine Learning
138,영어,Bank for International Settlements,"산업·통상·중소기업 / 공정거래,통일·외교 / 외교",The Role of Geopolitics in International Trade
139,영어,Bank for International Settlements,"재정·세제·금융 / 금융,환경 / 자연",Climate Minsky Moments and Endogenous Financial Crises
140,영어,Bank for International Settlements,"재정·세제·금융 / 금융,통일·외교 / 외교",Geopolitics Meets Monetary Policy: Decoding Their Impact on Cross-Border Bank Lending
141,영어,Bank for International Settlements,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Monetary Policy Along the Yield Curve: Why Can Central Banks Affect Long-Term Real Rates?
142,영어,Bank for International Settlements,"과학기술 / 과학기술연구,교육 / 교육일반",Putting AI Agents Through Their Paces on General Tasks
143,영어,Bank for International Settlements,"과학기술 / 과학기술연구,재정·세제·금융 / 금융",Artificial Intelligence and Relationship Lending
144,영어,Bank for International Settlements,"재정·세제·금융 / 금융,환경 / 자연",Mutual Funds and Climate News
145,영어,Bank for International Settlements,"과학기술 / 과학기술연구,재정·세제·금융 / 금융",Privacy-Enhancing Technologies for Digital Payments: Mapping the Landscape
146,영어,Bank for International Settlements,"과학기술 / 과학기술연구,재정·세제·금융 / 금융",Estimating Nonlinear Heterogeneous Agent Models with Neural Networks
147,영어,Bank for International Settlements,"산업·통상·중소기업 / 공정거래,재정·세제·금융 / 금융",The Use and Disuse of FinTech Credit: When Buy-Now-Pay-Later Meets Credit Reporting
148,영어,Bruegel,"사회복지 / 고용노동,산업·통상·중소기업 / 산업진흥·고도화",Gender Diversity and Economic Growth
149,영어,Bruegel,"재정·세제·금융 / 금융,통일·외교 / 외교",Are Bad Governments a Threat to Sovereign Defaults? The Effects of Political Risk on Debt Sustainability
150,영어,Bruegel,"사회복지 / 고용노동,통일·외교 / 외교",The Demographic Divide: Inequalities in Ageing across the European Union
151,영어,Bruegel,"과학기술 / 과학기술연구,산업·통상·중소기업 / 공정거래",How DeepSeek has Changed Artificial Intelligence and What it Means for Europe
152,영어,Bruegel,"산업·통상·중소기업 / 공정거래,일반공공행정 / 일반행정",Reinforcing EU Merger Control against the Risks of Acquisitions by Big Tech
153,영어,Bruegel,"산업·통상·중소기업 / 산업진흥·고도화,통일·외교 / 외교",Ukraine: European Democracy’s Affordable Arsenal
154,영어,Bruegel,"산업·통상·중소기업 / 통상,통일·외교 / 외교",Will China’s Economy Follow the Same Path as Japan’s?
155,영어,Bruegel,"일반공공행정 / 일반행정,환경 / 자연","Europeans Still Want Climate Action, but Don’t Trust Governments to Deliver"
156,영어,Bruegel,"일반공공행정 / 일반행정,환경 / 자연",Europe’s Energy Information Problem
157,영어,Bruegel,"일반공공행정 / 일반행정,재정·세제·금융 / 금융","The European Union’s New Fiscal Framework: a Good Start, but Challenges Loom"
158,영어,Bruegel,"재정·세제·금융 / 금융,환경 / 자연",How to Improve the European Union’s Sustainable Finance Framework
159,영어,Bruegel,"일반공공행정 / 일반행정,환경 / 자연",Upgrading Europe’s Electricity Grid is about More than Just Money
160,영어,Bruegel,"산업·통상·중소기업 / 공정거래,통일·외교 / 외교",Not Yet Trump-Proof: an Evaluation of the European Commission’s Emerging Policy Platform
161,영어,Bruegel,"사회복지 / 노인·청소년,일반공공행정 / 일반행정",Prepare Now: Europe Must Get Ready for the Coming Long-Term Care Surge
162,영어,Bruegel,"과학기술 / 과학기술연구,일반공공행정 / 일반행정",Using Data as a Production Factor: Policy Ideas for a New EU Data Strategy
163,영어,Observer Research Foundation,"과학기술 / 과학기술연구,통일·외교 / 외교",Balancing Development and Digital Harms: Assessing the BRICS Digital Agenda
164,영어,Observer Research Foundation,"농림 / 농업·농촌,환경 / 자연",Degrowth and the Reimagining of Indian Agriculture
165,영어,Observer Research Foundation,"통일·외교 / 외교,환경 / 자연",India’s Climate Diplomacy: a Review (2014-2024)
166,영어,Observer Research Foundation,"국방 / 병무행정,통일·외교 / 외교",Gulf Cooperation Council: Aiming for Relevance in a Changing Region
167,영어,Observer Research Foundation,"산업·통상·중소기업 / 통상,통일·외교 / 외교",The Northeast Region’s Place in India’s Indo-Pacific Vision
168,영어,Observer Research Foundation,"국방 / 병무행정,통일·외교 / 외교",Africa Pivots to China’s Global Security Initiative
169,영어,Observer Research Foundation,"일반공공행정 / 일반행정,재정·세제·금융 / 금융",The Changing Contours of Private Credit: The Market Implications of a Seemingly Endless Stream of Supply and Demand
170,영어,Observer Research Foundation,"일반공공행정 / 일반행정,환경 / 자연",Mainstreaming Ecosystem-Based Adaptation in India
171,영어,Observer Research Foundation,"일반공공행정 / 일반행정,통일·외교 / 외교",A New EU-India Strategic Agenda in 2025
172,영어,Observer Research Foundation,"과학기술 / 과학기술연구,사회복지 / 보건의료",Improving Mental Health Care in India
173,영어,Observer Research Foundation,"산업·통상·중소기업 / 통상,통일·외교 / 외교",The Benefits of Economic Integration between India and SriLanka
174,영어,Observer Research Foundation,"재정·세제·금융 / 금융,환경 / 자연",Creating Effective Sustainable Finance Taxonomies
175,영어,Observer Research Foundation,"국방 / 병무행정,통일·외교 / 외교",A Comparative Study of the Shipbuilding Industries of South Korea and Japan
176,영어,Observer Research Foundation,"통일·외교 / 외교,환경 / 해양환경",Redefining Horizons: ITLOS Advisory Opinion on Climate Obligations
177,영어,Observer Research Foundation,"사회복지 / 보건의료,환경 / 자연",Understanding the Link Between Food Insecurity and Negative Mental Health Outcomes
178,영어,Center for Global Development,"재정·세제·금융 / 기획재정,통일·외교 / 외교",Sanctions on Venezuela Are Not Driving Migration to the US Southwest Border: An Empirical Assessment
179,영어,European Central Bank,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Consumer attitudes towards a central bank digital currency
180,영어,Fridtjof Nansen Institute,"산업·통상·중소기업 / 에너지및자원개발,일반공공행정 / 국정운영",The limitations of the one-stop-shop approach: How local experiences shaped opposition to the Norwegian wind power permitting system
181,영어,Fridtjof Nansen Institute,"산업·통상·중소기업 / 에너지및자원개발,통일·외교 / 외교",Russia’s policy of presence in Svalbard
182,영어,Fridtjof Nansen Institute,"산업·통상·중소기업 / 에너지및자원개발,통일·외교 / 외교",Institutional prefiguration: community energy development through spaces of orchestration
183,영어,Fridtjof Nansen Institute,"산업·통상·중소기업 / 에너지및자원개발,환경 / 환경일반","Subjects of injustice: Inequity, misframing and human rights violations in a Tanzanian REDD+ pilot project"
184,영어,Fridtjof Nansen Institute,"산업·통상·중소기업 / 에너지및자원개발,환경 / 환경일반","The acceleration of low-carbon transitions: Insights, concepts, challenges, and new directions for research"
185,영어,Fridtjof Nansen Institute,"보건 / 식품의약안전,통일·외교 / 외교","States, global power and access to medicines: a comparative case study of China, India and the United States, 2000–2019"
186,영어,Norwegian Institute for Air Research,"환경 / 대기,환경 / 해양환경","Dust in the arctic: a brief review of feedbacks and interactions between climate change, aeolian dust and ecosystems"
187,영어,Norwegian Institute for Air Research,"과학기술 / 과학기술연구,환경 / 대기","A scalable framework for harmonizing, standardization, and correcting crowd-sourced low-cost sensor PM2.5 data across Europe"
188,영어,Norwegian Institute for Air Research,"과학기술 / 과학기술연구,환경 / 대기",Future CH4 as modelled by a fully coupled Earth system model: prescribed GHG concentrations vs. interactive CH4 sources and sinks
189,영어,Norwegian Institute for Air Research,"보건 / 보건의료,환경 / 대기",Unchanged PM2.5 levels over Europe during COVID-19 were buffered by ammonia
190,영어,Norwegian Institute for Air Research,"과학기술 / 과학기술연구,환경 / 대기",Cyclic volatile methyl siloxanes in the terrestrial and aquatic environment at remote Arctic sites
191,영어,Norwegian Institute for Air Research,"과학기술 / 과학기술연구,보건 / 보건의료",A pooled analysis of host factors that affect nucleotide excision repair in humans
192,영어,Norwegian Institute for Air Research,"해양수산 / 해양수산·어촌,환경 / 해양환경","Overview of methods for production of sterile salmonids, their applicability in aquaculture and possible implications to wild salmon populations and biodiversity in Norway"
193,영어,Norwegian Institute for Air Research,"과학기술 / 과학기술연구,일반공공행정 / 개인정보",Sovereignty-Aware Intrusion Detection on Streaming Data: Automatic Machine Learning Pipeline and Semantic Reasoning
194,영어,Norwegian Institute for Air Research,"보건 / 보건의료,일반공공행정 / 개인정보",Sovereignty in Automated Stroke Prediction and Recommendation System with Explanations and Semantic Reasoning
